"Year","Tm","R.G","ROE","XI","RS.","SBO","SB","CS","SB.","SB2","CS2","SB3","CS3","SBH","CSH","PO","PCS","OOB","OOB1","OOB2","OOB3","OOBHm","BT","XBT.","X1stS","X1stS2","X1stS3","X1stD","X1stD3","X1stDH","X2ndS","X2ndS3","X2ndSH"
2015,"Arizona Diamondbacks",4.44,62,"100%","30%",2277,132,"4400%","75%",106,35,25,8,1,1,16,10,52,10,15,10,17,"19200%","40%",326,229,96,71,33,37,169,71,92
2015,"Atlanta Braves",3.54,55,"100%","26%",2212,69,"3300%","68%",62,31,7,2,0,0,13,6,45,9,19,7,10,"11300%","40%",303,223,79,76,43,31,183,66,112
2015,"Baltimore Orioles",4.4,56,"100%","30%",2099,44,"2500%","64%",34,22,9,2,1,1,11,4,48,7,15,10,16,"11600%","37%",282,199,78,76,45,27,165,68,90
2015,"Boston Red Sox",4.62,72,"100%","31%",2304,71,"2700%","72%",56,22,15,4,0,1,11,6,62,3,26,14,19,"16400%","37%",319,223,87,97,47,47,180,83,88
2015,"Chicago Cubs",4.25,49,"100%","28%",2262,95,"3700%","72%",82,32,13,3,0,2,6,4,65,9,22,11,23,"12800%","45%",281,177,97,75,39,35,174,55,107
2015,"Chicago White Sox",3.84,58,"100%","28%",2148,68,"4200%","62%",68,39,0,3,0,0,8,3,74,16,18,18,22,"15400%","37%",309,228,75,81,45,35,172,61,100
2015,"Cincinnati Reds",3.95,54,"0%","27%",2150,134,"3800%","78%",99,32,35,5,0,1,11,5,50,7,13,7,23,"15300%","33%",290,228,61,76,46,27,137,55,77
2015,"Cleveland Indians",4.16,43,"100%","29%",2283,86,"2800%","75%",79,26,7,1,0,1,8,3,48,4,15,9,20,"16000%","38%",284,206,76,96,53,42,166,66,91
2015,"Colorado Rockies",4.55,55,"0%","32%",2121,97,"4300%","69%",81,37,16,5,0,1,15,4,52,7,21,7,17,"12100%","46%",294,193,99,62,28,34,174,53,108
2015,"Detroit Tigers",4.28,46,"0%","28%",2227,83,"5100%","62%",66,44,17,5,0,2,19,11,62,10,13,14,25,"11700%","34%",321,240,71,85,53,29,183,76,100
2015,"Houston Astros",4.5,53,"100%","29%",2069,121,"4800%","72%",99,41,21,5,1,2,21,11,56,6,18,14,18,"15000%","43%",246,159,82,77,44,30,139,44,85
2015,"Kansas City Royals",4.47,58,"0%","32%",2198,104,"3400%","75%",76,30,27,2,1,2,12,8,59,8,20,7,24,"14800%","44%",314,215,95,102,52,45,176,46,123
2015,"Los Angeles Angels of Anaheim",4.08,52,"300%","28%",2046,52,"3400%","60%",45,31,6,2,1,1,10,2,71,12,18,19,22,"17300%","44%",266,173,87,74,33,39,152,51,89
2015,"Los Angeles Dodgers",4.12,35,"300%","27%",2219,59,"3400%","63%",51,26,8,8,0,0,13,7,57,10,18,13,16,"10300%","37%",295,213,76,72,41,28,159,61,91
2015,"Miami Marlins",3.78,47,"0%","28%",2136,112,"4500%","71%",98,42,14,3,0,0,19,10,48,5,12,11,20,"11600%","39%",308,217,86,67,28,35,182,77,98
